link,latitude,longitude,valor,iptu,condominio,area,quartos,banheiros,suites,vagas
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-130m2-venda-RS650000-id-2441934505/,-8.137574,-34.902198,R$ 650.000,Não informado,Não informado,130,3,3,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-189m2-venda-RS1820000-id-2439047690/,-8.149849,-34.909347,R$ 1.820.000,Não informado,Não informado,189,4,7,4 suítes,3
https://www.vivareal.com.br/imoveis-lancamento/parque-recanto-do-sol-8166/,-8.06822,-34.99931,R$ 155.000,,,42,2,1,,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-134m2-venda-RS700000-id-1042793145/,-8.114586,-34.896114,R$ 700.000,R$ 320,R$ 1.450,134,3,2,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-4-quartos-boa-viagem-bairros-recife-com-garagem-146m2-venda-RS950000-id-2435026992/,-8.109095,-34.896111,R$ 950.000,Não informado,Não informado,146,4,4,2 suítes,2
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-108m2-venda-RS700000-id-2445795944/,-8.118809,-34.899182,R$ 700.000,R$ 3.400,R$ 856,108,3,2,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-47m2-venda-RS277000-id-94870388/,-8.133538,-34.909993,R$ 277.000,,R$ 354,47,2,2,,1
https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-88m2-venda-RS550000-id-1040725417/,-8.109538,-34.892639,R$ 550.000,,R$ 500,88,3,3,1 suíte,2
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-45m2-venda-RS320000-id-2443653877/,-34.89832,-8.111381,R$ 320.000,,R$ 300,45,2,2,1 suíte,1
https://www.vivareal.com.br/imoveis-lancamento/morada-nereu-guerra-7032/,-8.025672,-34.915056,R$ 359.000,,,50,2,2,1 suíte,1
https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-viagem-bairros-recife-com-garagem-59m2-venda-RS502000-id-1040596248/,-8.109342,-34.898112,R$ 502.000,,R$ 400,59,2,2,1 suíte,1
